Pseudomonas,Microcystis,Candidatus_Planktophila,Paenibacillus,Candidatus_Nanopelagicus,Limnohabitans,Streptomyces,Polynucleobacter,Synechococcus,Candidatus_Fonsibacter,Flavobacterium,Acidovorax,Candidatus_Methylopumilus,Halorubrum,Marinobacter,Hydrogenophaga,Acinetobacter,Salmonella,Variovorax,Bacillus,Cyanobium,Burkholderia,Rhodoferax,Mycolicibacterium,Dolichospermum,Comamonas,Anabaena,Cupriavidus,Starkeya,Bradyrhizobium,Escherichia,Sphingomonas,Mycobacterium,Diaphorobacter,Aeromonas,Psychroflexus,Shewanella
0.044493036,0.000154526,0.000333744,0.031216339,8.55964E-05,0.015665988,0.044295917,0.000846293,0.05773249,3.49793E-05,0.017328533,0.012354684,0.000515224,0.000742384,0.002420978,0.015019694,0.003488464,0.003633936,0.00763783,0.007271988,0.056120357,0.008619308,0.005178992,0.008252643,8.7654E-05,0.005539279,0.000332097,0.005060268,0.005826315,0.006085573,0.007766842,0.00691273,0.007218696,0.004114387,0.003067683,0.000791149,0.00207242
0.044484668,6.6521E-05,0.000309425,0.027055809,7.66621E-05,0.016034574,0.032817057,0.001327884,0.111846759,1.60568E-05,0.001869831,0.018092982,0.000655793,0.000424237,0.00145815,0.020778088,0.002014101,0.002084606,0.009255954,0.005966002,0.109789317,0.007328294,0.007259117,0.006333135,3.17514E-05,0.00825995,0.000154169,0.005051611,0.005147589,0.004941628,0.006797816,0.004726732,0.005649696,0.006472938,0.002919438,0.000111311,0.001325953
0.036569311,5.77318E-05,0.000824767,0.028244975,0.000201226,0.008044959,0.076539973,0.001103216,0.002677569,1.4665E-05,0.001280681,0.015540259,0.000307222,0.001238357,0.001188422,0.017440211,0.00328366,0.006516086,0.010312279,0.014812021,0.001373498,0.011891273,0.005787477,0.014209271,5.06778E-05,0.007891626,0.000162614,0.00749233,0.005334718,0.006563608,0.006880112,0.007564912,0.012179932,0.005147229,0.002698917,0.000137183,0.001453134
0.0127687,2.07721E-05,1.8591E-05,0.004527067,2.19145E-05,4.1648E-05,0.026493642,4.48677E-05,0.000379194,7.27023E-07,0.00020824,0.000722661,1.3398E-05,0.43262826,0.001441998,0.000597509,0.00042832,0.001057506,0.001199691,0.000695449,0.00012027,0.004447925,0.000377844,0.004143718,8.62041E-06,0.000280631,2.01489E-05,0.001305733,0.001058545,0.002406445,0.001727302,0.00211304,0.00346499,0.000193388,0.000759427,4.20635E-05,0.000332561
0.070603348,0.000129826,0.000589086,0.016285055,0.000256406,0.017363539,0.027770488,0.000763655,0.001785572,8.06776E-05,0.017021355,0.009287199,0.000443495,0.000520232,0.001805973,0.011166431,0.00381109,0.00214213,0.005632132,0.008187851,0.000666286,0.005263983,0.00379718,0.004938258,0.000172251,0.003900809,0.00042773,0.003035611,0.001917948,0.0028469,0.003059258,0.003081746,0.004334335,0.002850609,0.002120338,0.000308105,0.002761122
0.051724229,7.18196E-05,0.00153159,0.034797126,0.000696713,0.022632865,0.052439055,0.001218406,0.002013055,2.73799E-05,0.003015792,0.017168045,0.000542122,0.0010655,0.001645743,0.023862854,0.003626153,0.003509262,0.010110769,0.010914895,0.000417438,0.009115193,0.007417007,0.010333388,6.55012E-05,0.007556012,0.000265796,0.00540669,0.003360779,0.004499993,0.003694603,0.004545065,0.008451967,0.005649318,0.002448396,0.000137953,0.002292751
0.029991341,7.37265E-05,0.001234346,0.025987443,0.000587522,0.002168291,0.045247458,0.000534174,0.00137287,5.51804E-05,0.002235378,0.002808933,0.00024751,0.170879914,0.001117346,0.0032893,0.002935093,0.002925247,0.003711053,0.009936591,0.000301546,0.00691266,0.001453923,0.007855077,4.94563E-05,0.001541387,0.000226675,0.003155814,0.003009964,0.005103842,0.003442707,0.00583172,0.006065034,0.000884718,0.001633889,0.000128907,0.001721811
0.010279938,9.51155E-06,3.03756E-05,0.003914258,1.07388E-05,4.17281E-05,0.028940778,3.4262E-05,0.000379439,6.13648E-07,8.52971E-05,0.000645865,1.12502E-05,0.479613275,0.000605364,0.000531726,0.000317768,0.000779742,0.001233944,0.000720628,0.000121605,0.004611976,0.00032912,0.004527088,5.21601E-06,0.000269392,1.77958E-05,0.001372527,0.001041463,0.002409081,0.001494234,0.002018596,0.003645173,0.000230629,0.000659876,1.28866E-05,0.000217129
0.075447395,0.000153397,0.000299288,0.016849908,0.000140933,0.000413734,0.012547984,0.001461311,0.001785669,1.82717E-05,0.004794126,0.001674623,0.00043583,0.00025722,0.006987013,0.001302815,0.003603491,0.008289262,0.001410179,0.005445533,0.000123936,0.00323919,0.000908628,0.003383522,0.000160621,0.001203524,0.000160338,0.002830697,0.004444131,0.004248808,0.00317361,0.002847836,0.003203213,0.00070169,0.002463139,0.00198425,0.003223326
0.119387639,0.000136016,0.000238458,0.023560042,7.48949E-05,0.000767544,0.013509835,0.002692773,0.002968765,0.000118627,0.002680721,0.002398875,0.000971568,0.000284945,0.006268789,0.001665594,0.005273806,0.010947741,0.001760116,0.004668621,0.000128613,0.004484225,0.001288192,0.003467031,0.000211944,0.00192368,0.000167007,0.004052417,0.004204273,0.004714763,0.002769045,0.003753526,0.003402122,0.000835724,0.002896969,0.001006002,0.004629021
0.099168603,0.000285688,0.001133635,0.032544412,0.000666974,0.000628017,0.015081793,0.002609875,0.003114111,4.89041E-05,0.005029659,0.001912508,0.000763124,0.000349788,0.005183002,0.001525144,0.007033068,0.00944926,0.000987475,0.007277035,0.00014837,0.003801531,0.001047431,0.004887367,0.000237613,0.002563733,0.000195893,0.003142293,0.000569442,0.004045775,0.007122863,0.003361395,0.006190094,0.000589888,0.003749312,0.003980846,0.004995122
0.02719242,0.000105487,0.110452394,0.016336259,0.139375265,0.07570496,0.008226242,0.11608267,0.001195616,0.027450261,0.004967609,0.009134561,0.000695169,0.000153079,0.000981304,0.011178716,0.004081199,0.027816781,0.004098466,0.006539176,0.000229547,0.003567259,0.004261412,0.002777195,0.000128993,0.004138803,0.000158738,0.003108456,0.003641839,0.005430329,0.001803145,0.006093287,0.002758477,0.003199723,0.00112118,0.000597663,0.001718697
0.042712168,0.000128432,0.002119128,0.050961338,0.000997326,0.005708225,0.053347982,0.000987587,0.002330341,8.12591E-05,0.00529706,0.006081956,0.00056851,0.001157714,0.001414883,0.007862048,0.005288234,0.004809505,0.005478143,0.022097307,0.000432773,0.008381863,0.0028112,0.010363125,0.000160692,0.003228452,0.000356992,0.004092477,0.003448795,0.004752593,0.003636878,0.004656117,0.008169433,0.001886307,0.002128867,0.000316515,0.00303063
0.053458151,0.000163004,0.022255058,0.059198424,0.005239551,0.011225747,0.026841271,0.002349298,0.043908342,0.000255744,0.004653643,0.007912402,0.000768556,0.00038985,0.00124869,0.007148757,0.003390031,0.013234116,0.006013206,0.004822124,0.023730783,0.006375102,0.003978961,0.009351673,0.000175848,0.004074723,0.00022779,0.005381967,0.007248486,0.014940464,0.003207006,0.011037055,0.007804362,0.002750103,0.002030845,0.000108795,0.002005913
0.028417847,7.33612E-05,0.057513083,0.023954567,0.003277463,0.051643476,0.009700961,0.149819642,0.00101856,6.24562E-05,0.027317854,0.011782126,0.000928629,0.000276025,0.000627536,0.009496031,0.005703907,0.009100192,0.005615817,0.004532959,0.000399521,0.004528427,0.00481904,0.011009567,7.22282E-05,0.005301411,0.000160885,0.003760825,0.005133162,0.009650401,0.002155376,0.012705373,0.004224644,0.004350831,0.00101941,0.000158619,0.001763785
