multidrug,macrolide_lincosamide_streptogramin,bacitracin,tetracycline,unclassified,fosmidomycin,polymyxin,beta_lactam,vancomycin,aminoglycoside,kasugamycin,sulfonamide,chloramphenicol,rifamycin,fosfomycin,quinolone,trimethoprim,puromycin,multidrug__multidrug_ABC_transporter,macrolide_lincosamide_streptogramin__macB,multidrug__mexF,bacitracin__bacA,multidrug__multidrug_transporter,multidrug__acrB,multidrug__mexW,unclassified__transcriptional_regulatory_protein_CpxR_cpxR,multidrug__mdtC,multidrug__mdtB,tetracycline__tetP,multidrug__mexB,multidrug__mexI,polymyxin__arnA,multidrug__mexD,fosmidomycin__rosA,bacitracin__bcrA,fosmidomycin__rosB,multidrug__mdtF,vancomycin__vanR,multidrug__ceoB,multidrug__amrB,multidrug__cmeB,multidrug__oprC,multidrug__bpeF,multidrug__adeB,multidrug__mexC,kasugamycin__kasugamycin_resistance_protein_ksgA,multidrug__mexY,multidrug__smeB,multidrug__mexE,unclassified__cAMP_regulatory_protein,multidrug__emrB,multidrug__TolC,multidrug__oprM,multidrug__mexT,multidrug__adeJ,multidrug__emrA,multidrug__smeE,multidrug__acrF,unclassified__truncated_putative_response_regulator_ArlR,multidrug__emrE,multidrug__mdfA,aminoglycoside__aac_6___II,fosfomycin__fosX,polymyxin__mcr_5,rifamycin__ADP_ribosylating_transferase_arr,macrolide_lincosamide_streptogramin__macA,tetracycline__tetA,multidrug__mexA,aminoglycoside__aadA,multidrug__acrA,chloramphenicol__catB,beta_lactam__metallo_beta_lactamase,sulfonamide__sul1,sulfonamide__sul4,tetracycline__tetT,multidrug__qacEdelta1,multidrug__smeD,aminoglycoside__aac_3__I,multidrug__mdtK,multidrug__oprN,tetracycline__tetC,multidrug__major_facilitator_superfamily_transporter,quinolone__qepA,multidrug__EmrB_QacA_family_major_facilitator_transporter,sulfonamide__sul2,polymyxin__mcr_4,aminoglycoside__aac_2___I,multidrug__oprA,tetracycline__tet35,beta_lactam__class_C_beta_lactamase,tetracycline__tet39,beta_lactam__class_A_beta_lactamase,tetracycline__tetracycline_resistance_protein,quinolone__abaQ,chloramphenicol__cat_chloramphenicol_acetyltransferase,multidrug__mdtA,aminoglycoside__aph_6__I,vancomycin__vanD,vancomycin__vanS,rifamycin__rifampin_monooxygenase,aminoglycoside__aac_6___I,tetracycline__tetM,multidrug__mdtH,aminoglycoside__aph_3___I,puromycin__puromycin_resistance_protein,multidrug__adeK,chloramphenicol__floR,beta_lactam__class_B_beta_lactamase,tetracycline__tetR,aminoglycoside__aac_6___31,polymyxin__mcr_3,polymyxin__icr_Mo,beta_lactam__OXA_209,tetracycline__tet41,beta_lactam__OXA_12,multidrug__sdeY,aminoglycoside__aph_3____I,unclassified__cob_I_alamin_adenolsyltransferase,chloramphenicol__chloramphenicol_exporter,tetracycline__tetV,vancomycin__vanC,beta_lactam__OXA_2,trimethoprim__dfrB6,beta_lactam__penA,tetracycline__tetG,multidrug__mdtE,multidrug__oprJ,beta_lactam__OXA_21,beta_lactam__PBP_1A,beta_lactam__TEM_1,macrolide_lincosamide_streptogramin__ereA,multidrug__mdtD,multidrug__mdtL,multidrug__bicyclomycin_multidrug_efflux_protein_bcr,beta_lactam__THIN_B,vancomycin__vanA,multidrug__mdtG,multidrug__adeC,beta_lactam__TEM_117,unclassified__DNA_binding_protein_H_NS,multidrug__emrD,beta_lactam__FEZ_1,beta_lactam__OXA_60,beta_lactam__OXA_3,aminoglycoside__aadE,tetracycline__tetX2,fosfomycin__fosA,multidrug__pmrA,aminoglycoside__ant_2____I,beta_lactam__OXA_119,multidrug__smeF,beta_lactam__ampC,tetracycline__tetQ,beta_lactam__OXA_53,macrolide_lincosamide_streptogramin__ermF,macrolide_lincosamide_streptogramin__lsa,multidrug__abeS,beta_lactam__OXA_205,chloramphenicol__cmlA,trimethoprim__dfrB2,macrolide_lincosamide_streptogramin__mefA,macrolide_lincosamide_streptogramin__mphA,tetracycline__tet34,trimethoprim__dfrA1,tetracycline__tetW,unclassified__rpsD__ramA_or_sud2_,trimethoprim__dfrB3,tetracycline__tet36,beta_lactam__OXA_10,beta_lactam__OXA_226,tetracycline__tetO,vancomycin__vanX,multidrug__emrK,beta_lactam__OXA_34,beta_lactam__TEM_157,beta_lactam__OXA_29,macrolide_lincosamide_streptogramin__vatB,beta_lactam__VEB_1,beta_lactam__OXA_1,beta_lactam__OXA_118,tetracycline__tetE,beta_lactam__TEM_187,tetracycline__tet43,tetracycline__otrA,beta_lactam__JOHN_1,aminoglycoside__aac_3__IIIa,beta_lactam__GES_15,beta_lactam__OXA_20,beta_lactam__TEM_91,unclassified__sdiA,beta_lactam__TEM_205,beta_lactam__LCR_1,multidrug__mdtN,beta_lactam__AER_1,macrolide_lincosamide_streptogramin__vatG,tetracycline__tetX3,multidrug__opcM,trimethoprim__dfrA22,multidrug__adeA,beta_lactam__OXA_129,multidrug__mexG,Integrase,IS,ist,Transposase,Plasmid,Ag,Al,As,Au,Cd,Co,Cr,Cu,Fe,Hg,Ni,Pb,Se,Te,V,W,Zn,Multi_metals,ARGrankI,ARGrankII
1.197280558,0.108339475,0.135662602,0.014240439,0.124938736,0.06694679,0,0.047923552,0.007178585,0.014240439,0,0,0.034762106,0.007178585,0,0,0.007178585,0,1.016336796,0.108339475,0.213074825,0.130333768,0.403692338,0.247154615,0.091080469,0.113943352,0.06069784,0.190331698,0.014240439,0.041392685,0.054357662,0,0.014240439,0.041392685,0.007178585,0.028028724,0.034762106,0.007178585,0.041392685,0.021189299,0,0.028028724,0.054357662,0.054357662,0.007178585,0,0.028028724,0.007178585,0.034762106,0.014240439,0.021189299,0.014240439,0,0.054357662,0,0,0.014240439,0.014240439,0,0.007178585,0,0,0,0,0.007178585,0,0,0.007178585,0,0,0.034762106,0,0,0,0,0,0,0.007178585,0.007178585,0.014240439,0,0.014240439,0,0,0,0,0,0.007178585,0,0.014240439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0.007178585,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0.007178585,0,0,0.007178585,0,0,0,0,0,0.014240439,0,0,0,0,0,0.156347201,0,0.251232527,0.007178585,0.176091259,0,1.017728767,0.014240439,0.014240439,0.556302501,0.329058719,0.806179974,1.065704172,0.278753601,0.230448921,0.194976603,0.50965048,0.361727836,0.079181246,0.102662342,0.301029996,2.353595695,0,0
1.258078294,0.180890142,0.119475841,0.007178585,0.047923552,0.096910013,0,0.108339475,0.028028724,0.034762106,0.014240439,0.034762106,0.102662342,0,0,0.007178585,0,0,1.074938279,0.171238756,0.204119983,0.119475841,0.479527325,0.185636577,0.007178585,0.034762106,0.151267675,0.230448921,0,0.028028724,0.091080469,0,0.041392685,0.041392685,0,0.06069784,0.034762106,0.021189299,0.054357662,0.079181246,0,0.028028724,0.054357662,0.028028724,0,0.014240439,0.091080469,0.021189299,0.06694679,0.007178585,0.021189299,0.014240439,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0.021189299,0,0.007178585,0.091080469,0,0.021189299,0,0,0,0,0,0.007178585,0,0,0.014240439,0,0.007178585,0.014240439,0,0,0,0,0.007178585,0,0,0,0,0.007178585,0,0.007178585,0,0.007178585,0,0,0,0.021189299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0.007178585,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047923552,0,0.028028724,0,0.255272505,0.021189299,0.156347201,0,0.973127854,0.054357662,0.028028724,0.539912085,0.124938736,0.539912084,0.962211439,0.30820858,0.014240439,0.342422681,0.397940009,0.054357662,0.156347201,0.028028724,0.374137094,2.354684554,0,0
1.026669428,0.290034611,0.217483944,0.180890142,0.28254659,0.119475841,0,0.140926842,0.130333768,0.014240439,0.041392685,0.014240439,0.014240439,0.007178585,0,0,0,0,0.537819095,0.286306739,0.45484486,0.194976603,0.339120045,0.30820858,0.204119983,0.226170123,0.130333768,0.161368002,0.014240439,0.06069784,0.007178585,0,0.007178585,0.021189299,0.034762106,0.102662342,0.06694679,0.091080469,0,0.028028724,0.007178585,0.021189299,0.007178585,0,0,0.041392685,0.014240439,0.054357662,0.021189299,0.08517161,0.014240439,0.096910013,0.047923552,0.146128036,0.007178585,0,0,0,0,0.007178585,0,0,0,0,0.007178585,0,0,0,0,0,0.007178585,0.007178585,0.014240439,0,0,0,0.007178585,0,0.054357662,0,0,0,0,0,0,0,0,0.007178585,0.079181246,0.034762106,0,0,0.014240439,0,0.007178585,0,0,0.047923552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0.06069784,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0.007178585,0,0,0.007178585,0,0,0,0.014240439,0,0.014240439,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0.113943353,0,0.374137094,0.034762106,0.322219295,0.041392685,0.986771734,0.176091259,0.079181246,0,0.329058719,1.404833717,2.415807728,0.672097858,0.255272505,0.06694679,1.823691539,0.054357662,0.06694679,0.066946789,0.32905872,2.074816441,0,0
1.010017121,0.325652471,0.400825697,0.271066772,0.449735454,0.185636577,0.034762106,0.130333768,0.119475841,0.079181246,0.079181246,0.041392685,0.054357662,0.007178585,0.007178585,0.007178585,0,0,0.678214783,0.251232527,0.255272505,0.389166084,0.234685974,0.130333768,0.22184875,0.311753861,0.054357662,0.054357662,0.079181246,0.041392685,0.047923552,0.034762106,0.007178585,0.073107098,0.028028724,0.130333768,0.014240439,0.021189299,0.028028724,0,0.021189299,0,0.007178585,0.007178585,0,0.079181246,0,0.014240439,0,0.217483944,0.091080469,0.217483944,0.034762106,0.06069784,0.079181246,0.041392685,0,0.007178585,0.007178585,0.021189299,0,0,0,0,0.007178585,0.021189299,0.007178585,0.014240439,0,0.054357662,0.014240439,0,0.021189299,0.007178585,0,0.007178585,0.007178585,0,0.096910013,0,0,0.014240439,0.007178585,0,0.014240439,0,0,0,0.096910013,0.014240439,0.014240439,0,0,0,0.041392685,0.021189299,0.014240439,0.08517161,0.021189299,0,0,0.034762106,0.007178585,0,0,0.007178585,0,0.014240439,0,0,0,0,0,0,0,0,0.034762106,0,0,0,0,0.007178585,0,0,0,0,0.007178585,0,0.014240439,0,0,0,0.021189299,0.014240439,0,0,0,0.014240439,0,0.028028724,0.007178585,0,0.014240439,0,0.007178585,0,0,0,0,0,0,0,0.007178585,0.007178585,0.028028724,0,0,0,0,0,0,0,0.054357662,0,0.007178585,0,0,0,0,0,0.028028724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0.28254659,0,0.994903443,0.119475841,0.758407192,0.124938736,1.320838389,0.255272505,0.213074825,0,0.763427994,1.464390178,2.130655349,1.002885688,1.423245874,0.079181246,1.401113214,0.374137094,0.102662342,0.263241435,0.514104821,2.368596763,0.007178585,0.021189299
0.898542359,0.447158031,0.653212514,0.199572355,0.30463412,0.234685974,0,0.079181246,0.156347201,0,0.041392685,0,0.007178585,0,0.014240439,0,0,0,0.661181443,0.441956838,0.263241435,0.653212514,0.108339475,0.054357662,0.243038049,0.230448921,0.021189299,0.041392685,0.113943352,0.014240439,0.047923552,0,0.014240439,0.047923552,0,0.204119983,0,0.08517161,0.021189299,0,0.021189299,0.014240439,0,0.014240439,0.007178585,0.041392685,0,0.007178585,0.007178585,0.06694679,0,0.119475841,0,0.08517161,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0.028028724,0,0,0,0,0,0,0,0,0,0.06069784,0,0,0,0,0,0.007178585,0.014240439,0,0.08517161,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0.014240439,0,0,0,0,0,0.041392685,0,0,0,0,0.028028724,0,0,0,0,0,0,0,0,0,0,0.047923552,0,0,0,0,0,0,0.014240439,0,0,0.007178585,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0.034762106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397940009,0,0.924279286,0,0.716003344,0.06694679,1.521138084,0.486666573,0.091080469,0,0.867271019,1.681542726,2.386617853,1.018423083,1.923244019,0.041392685,1.621176282,0.810680475,0.091080469,0.263241435,0.386201606,2.5003051,0,0
1.255674444,0.706148589,0.500602351,0.091080469,0.135662602,0.274927193,0,0.208620484,0.208620484,0.073107098,0.007178585,0.014240439,0.171238756,0.021189299,0,0,0,0,0.907590488,0.706148589,0.386201605,0.500602351,0.552262523,0.263241435,0.119475841,0.113943352,0.213074825,0.33243846,0.014240439,0.047923552,0.130333768,0,0.06069784,0.140926842,0,0.176091259,0.034762106,0.146128036,0.096910013,0.06069784,0,0.102662342,0.102662342,0.034762106,0,0.007178585,0.047923552,0.054357662,0.06069784,0.021189299,0.047923552,0.073107098,0.014240439,0.047923552,0.028028724,0.007178585,0.014240439,0,0.007178585,0,0.007178585,0,0,0,0.007178585,0,0,0,0,0.007178585,0.161368002,0,0.014240439,0,0,0,0.014240439,0,0.014240439,0,0,0,0,0,0,0,0,0.007178585,0,0.007178585,0,0,0,0,0.007178585,0,0,0.034762106,0.054357662,0.014240439,0,0,0,0,0,0.014240439,0.007178585,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0.007178585,0,0,0.007178585,0,0,0,0,0,0,0.034762106,0,0,0,0,0.014240439,0,0,0,0.014240439,0,0.014240439,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0.021189299,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028028724,0,0.06694679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0.014240439,0.171238756,0,0.602059992,0.034762106,0.623249291,0,1.173186268,0.397940009,0.014240439,0,0.425968732,1.68514436,2.683287245,0.605664116,0.420505837,0.255272505,1.769623455,0.247154615,0.22184875,0.263241435,0.505149978,2.31523541,0,0
1.309630167,0.403692338,0.529344787,0.190331698,0.439332694,0.140926842,0.034762106,0.199572355,0.140926842,0.054357662,0.08517161,0.30463412,0.113943352,0,0.014240439,0.176091259,0,0,0.574031268,0.315270435,0.669006781,0.522878745,0.403692338,0.395035018,0.764674177,0.335792102,0.204119983,0.361727836,0.034762106,0.047923552,0.08517161,0.034762106,0,0.054357662,0.021189299,0.096910013,0.021189299,0.108339475,0.028028724,0.041392685,0.028028724,0,0,0.021189299,0.034762106,0.08517161,0.007178585,0.007178585,0.119475841,0.190331698,0,0.06694679,0.161368002,0.380211242,0.014240439,0,0.007178585,0,0.014240439,0.014240439,0,0,0,0,0,0.007178585,0,0.014240439,0.007178585,0,0.054357662,0,0,0,0,0,0,0.007178585,0,0,0,0,0.176091259,0,0.30463412,0,0,0,0.047923552,0.073107098,0,0,0,0,0.06694679,0,0,0.041392685,0,0,0,0,0,0,0,0,0,0,0.119475841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0.021189299,0,0,0,0,0,0,0,0,0,0,0,0.412180448,0,0.718778398,0.085171609,0.62324929,0.079181246,1.412740466,0.204119983,0.230448921,0,0.913813852,1.31033922,2.131939295,0.903089987,0.982271233,0.124938736,1.488550717,0.124938736,0.166331422,0.420505837,0.801632346,2.335290704,0.014240439,0
1.054995862,0.452297671,0.462397998,0.06069784,0.318758763,0.054357662,0.028028724,0.124938736,0.199572355,0,0.041392685,0.028028724,0.054357662,0,0,0.007178585,0,0,0.697519938,0.452297671,0.194976603,0.462397998,0.274927193,0.204119983,0.403692338,0.293730757,0.06069784,0.171238756,0.014240439,0,0.06069784,0,0.028028724,0.007178585,0,0.047923552,0.014240439,0.124938736,0.007178585,0.047923552,0.014240439,0.021189299,0,0.014240439,0,0.041392685,0,0.041392685,0.021189299,0.034762106,0,0.113943352,0.124938736,0.208620484,0.007178585,0,0,0,0,0.007178585,0,0,0,0.028028724,0,0,0,0.028028724,0,0,0.014240439,0,0,0.014240439,0,0,0,0,0.054357662,0,0,0,0.007178585,0,0.014240439,0,0,0,0.028028724,0.119475841,0,0,0,0,0.041392685,0,0,0.096910013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021189299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176091259,0,0.30463412,0.007178585,0.598425707,0.028028724,1.305351369,0.213074825,0.079181246,0,0.653212514,1.585836579,2.561081498,0.832508913,0.729704621,0.079181246,1.672405759,0.156347201,0.113943352,0.255272505,0.481920138,2.299579929,0,0
1.426511261,0.315270435,0.395035018,0.102662342,0.329058719,0.293730757,0.014240439,0.325652471,0.151267675,0.06069784,0.06069784,0,0.194976603,0.021189299,0,0,0.007178585,0,0.815134817,0.293730757,0.574031268,0.389166084,0.868252476,0.397940009,0.185636577,0.226170123,0.329058719,0.541995036,0,0.102662342,0.247154615,0.014240439,0.054357662,0.194976603,0.014240439,0.146128036,0.073107098,0.096910013,0.156347201,0.146128036,0.007178585,0.113943352,0.140926842,0.054357662,0.014240439,0.06069784,0.146128036,0.073107098,0.113943352,0.161368002,0.06069784,0.124938736,0.06694679,0.130333768,0,0.014240439,0,0.007178585,0,0,0,0,0,0,0.007178585,0.014240439,0,0,0,0,0.156347201,0,0,0,0,0,0.028028724,0,0.047923552,0,0,0,0,0.007178585,0,0,0,0.021189299,0.041392685,0.034762106,0,0,0,0,0.034762106,0,0,0.041392685,0.028028724,0.014240439,0,0,0,0,0,0.007178585,0.014240439,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0.007178585,0,0.007178585,0,0,0,0.014240439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0.014240439,0,0,0,0,0,0,0,0.041392685,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0.007178585,0,0.054357662,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0.047923552,0,0.135662602,0,0.68871637,0.028028723,0.457377196,0.054357662,1.186579671,0.293730757,0.054357662,0.135662602,0.556302501,1.335792102,2.29136885,0.73506635,0.278753601,0.420505837,1.596230448,0.102662342,0.409369471,0.135662602,0.69019608,2.160268395,0.007178585,0
1.113943352,0.124938736,0.355387658,0.439332694,0.661181443,0.194976603,0.021189299,0.259275248,0.102662342,0.007178585,0.322219295,0.007178585,0.041392685,0,0,0.021189299,0.014240439,0,0.342422681,0.124938736,0.293730757,0.348953548,0.544068044,0.108339475,0.315270435,0.301029996,0.096910013,0.176091259,0.156347201,0.041392685,0.079181246,0,0.335792102,0.06069784,0.014240439,0.151267675,0.054357662,0.096910013,0.06069784,0.06069784,0.007178585,0.021189299,0.034762106,0.054357662,0.007178585,0.322219295,0.073107098,0.034762106,0.054357662,0.554287209,0.028028724,0.414973348,0.130333768,0.014240439,0.007178585,0,0.007178585,0,0,0.007178585,0,0.007178585,0,0.021189299,0,0,0,0.007178585,0,0,0.007178585,0,0.007178585,0,0,0,0,0,0.161368002,0,0,0.021189299,0.021189299,0,0,0,0,0,0.286306739,0.034762106,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0.021189299,0,0,0,0,0,0,0,0,0,0,0,0.014240439,0,0,0.007178585,0,0,0,0,0,0,0.091080469,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140926842,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178585,0,0,0,0,0,0,0,0,0.102662342,0,0,0,0,0,0.007178585,0.007178585,0,0,0,0,0.108339475,0,1.445344691,0,0.329058719,0.091080469,1.983626287,0.286306739,0.102662342,0,0.301029996,2.023800984,2.653501947,1.355387658,1.026669428,0.176091259,1.450762156,0.462397998,0.102662342,0.884606581,0.636822098,2.795683092,0,0
