Pseudomonas,Microcystis,Candidatus_Planktophila,Paenibacillus,Candidatus_Nanopelagicus,Limnohabitans,Streptomyces,Polynucleobacter,Synechococcus,Candidatus_Fonsibacter,Flavobacterium,Acidovorax,Candidatus_Methylopumilus,Halorubrum,Marinobacter,Hydrogenophaga,Acinetobacter,Salmonella,Variovorax,Bacillus,Cyanobium,Burkholderia,Rhodoferax,Mycolicibacterium,Dolichospermum,Comamonas,Anabaena,Cupriavidus,Starkeya,Bradyrhizobium,Escherichia,Sphingomonas,Mycobacterium,Diaphorobacter,Aeromonas,Psychroflexus,Shewanella
0.028791349,0.000112952,0.197752286,0.028775132,0.041023441,0.043112339,0.01171826,0.014456987,0.001114724,0.108607929,0.015558908,0.011236009,0.106044747,0.000146524,0.000639586,0.006946398,0.0033106,0.011691516,0.005406896,0.008522035,0.00014937,0.003544754,0.004850103,0.019616641,5.86E-05,0.004991221,0.000181235,0.002893503,0.002505142,0.002291472,0.001870961,0.004433575,0.006737566,0.004596317,0.001302219,0.000156482,0.001469513
0.037113307,0.000217698,0.100333842,0.04124956,0.020223511,0.030106978,0.020889547,0.007853585,0.003414909,0.059073691,0.015890742,0.008580812,0.043117052,0.000362437,0.000804892,0.005429494,0.003949151,0.005646014,0.005187085,0.010780146,0.000538948,0.005276517,0.003784407,0.025728316,0.000110614,0.00388443,0.000162391,0.00384442,0.002993635,0.004005634,0.004222155,0.007935957,0.009070337,0.003778523,0.003853834,0.000147093,0.001969868
0.036631788,0.000162644,0.176091654,0.039190534,0.019190108,0.066376359,0.018983898,0.010964946,0.003021508,0.020036246,0.01062804,0.014336914,0.029408633,0.0002885,0.000844202,0.009218455,0.003573337,0.008122541,0.00686011,0.008707286,0.000595395,0.004984859,0.006425424,0.028682541,0.000215891,0.006497065,0.000203306,0.00395865,0.003548166,0.003435864,0.002656526,0.007757559,0.011739444,0.006537726,0.003864742,9.68E-05,0.001897519
0.059090197,8.38E-05,0.033866134,0.019544261,0.00193964,0.187678951,0.019443018,0.004315572,0.001258617,0.001170485,0.043140425,0.040090754,0.001541224,0.000232349,0.000939593,0.026176039,0.003102842,0.006577879,0.018404367,0.004684126,0.00020977,0.009231318,0.01568319,0.005080357,8.89E-05,0.01689155,0.000606729,0.007336837,0.006263224,0.005824748,0.003230306,0.00801786,0.003823196,0.013216212,0.00237666,0.000106342,0.00139555
0.047803205,0.000106751,0.03848615,0.02216417,0.002160494,0.16220203,0.012147775,0.00381938,0.000951054,0.002697888,0.106090446,0.034774128,0.002407356,0.000138898,0.00074665,0.02544009,0.003496094,0.004938445,0.015795504,0.006106641,0.000117062,0.005959858,0.014522377,0.005163472,4.73E-05,0.014623063,0.000693881,0.005770011,0.004434411,0.003806036,0.002525631,0.005066425,0.003176448,0.012128972,0.001701344,0.000275976,0.00150907
0.045703104,9.67E-05,0.05370696,0.018610826,0.002978395,0.187705637,0.015826542,0.003984135,0.001026768,0.002610797,0.074690392,0.036069925,0.002765277,0.000179149,0.001241099,0.024472583,0.003549406,0.007039366,0.016037234,0.006755478,0.000146797,0.007420714,0.014299938,0.004828923,4.53E-05,0.015704818,0.000309365,0.005988334,0.004816387,0.004226774,0.003902042,0.004775138,0.003562347,0.012379449,0.001681489,0.000231316,0.001461901
0.048042767,0.000301861,0.000106681,0.031361771,2.37E-05,0.000183306,0.022604476,0.000392957,0.001312082,2.13E-05,0.00243418,0.008602933,6.38E-05,0.000386092,0.000694446,0.00228093,0.013503946,0.009980322,0.002986137,0.005778394,0.000274402,0.005074114,0.001110409,0.007488257,6.73E-05,0.002534367,0.000135067,0.003289297,0.003013782,0.004166121,0.118945674,0.004104524,0.004738858,0.00439247,0.004190797,2.50E-05,0.001005769
0.154197149,4.56E-05,3.71E-05,0.005717345,2.23E-05,0.000348488,0.001627601,0.000204471,0.000158359,1.61E-05,0.20072439,0.069484982,9.96E-05,1.50E-05,0.000227637,0.002269475,0.25816971,0.002385527,0.003752011,0.001862078,1.97E-05,0.001201561,0.001936541,0.000448269,4.07E-05,0.010809915,8.64E-05,0.001284078,0.000468346,0.000552242,0.003392105,0.000754616,0.000331555,0.009708741,0.006125072,0.000311918,0.010423478
0.046431704,0.000383894,0.008426149,0.026008394,0.003347023,0.000546241,0.034274638,0.070599968,0.002100129,0.000427838,0.003516083,0.004922272,0.001423278,0.000310045,0.000727508,0.001790694,0.005184102,0.003033316,0.016196808,0.0168761,0.000884971,0.006292452,0.002068392,0.005732173,0.002581065,0.002017735,0.000309435,0.004293027,0.003193831,0.008669058,0.003101672,0.020794997,0.011936739,0.001438536,0.001761398,2.69E-05,0.002220973
0.064652121,0.000132896,0.051327418,0.040016521,0.051655229,0.007079325,0.02970998,0.004349011,0.003986892,0.047538646,0.004023651,0.009992301,0.03769696,0.000425834,0.001017364,0.006828425,0.003276415,0.00920284,0.01017666,0.007200911,0.001094652,0.009102744,0.007017307,0.006461027,0.000293503,0.004587282,0.000419048,0.008930827,0.008833369,0.009901819,0.006514374,0.006438218,0.006456126,0.003901311,0.002047736,5.07E-05,0.001584766
0.039207568,0.000243099,0.24907505,0.019675043,0.086824449,0.030607044,0.0057075,0.012697669,0.005540103,0.013842794,0.011587374,0.009530093,0.081418157,8.23E-05,0.000598507,0.005169057,0.012850672,0.009368027,0.004517416,0.005795109,0.002030803,0.002889646,0.004599693,0.001567528,0.000142519,0.003986258,0.00025696,0.002990582,0.001900368,0.002078427,0.001896281,0.004073689,0.001673617,0.003648621,0.003913755,0.000130613,0.054634772
0.001175328,6.32E-05,0.041417423,0.003770966,0.005768096,0.006588477,0.00177075,0.003376113,0.00931596,0.006309654,0.008207032,0.001030454,0.001700389,5.63E-06,0.000129852,0.000647045,0.000846739,0.139267519,0.000365436,0.111162938,0.002064869,0.033722804,0.000363333,0.029834633,0.003192753,0.003931027,0.012627256,0.000112425,6.02E-05,2.24E-05,0.01998408,0.000427357,0.000161044,0.000193657,0.006441363,2.36E-05,0.000227254
0.073298929,0.002828828,6.61E-05,0.055654665,2.16E-05,0.000124172,0.039151776,0.000308865,0.007547194,6.43E-06,0.00201284,0.003001347,5.48E-05,0.000633208,0.000936508,0.002323618,0.001167809,0.002369878,0.005468094,0.003975768,0.000786597,0.008284922,0.001412501,0.005986,0.012308168,0.001712323,0.021556555,0.005947565,0.02673787,0.013335457,0.003535427,0.012309385,0.005717482,0.001144853,0.002716656,2.89E-05,0.001344502
0.085594317,0.000129737,2.31E-05,0.038460259,1.11E-05,9.11E-05,0.055501041,0.00015131,0.001657367,2.13E-05,0.001880586,0.004037425,3.01E-05,0.00093917,0.000965237,0.003489564,0.00109018,0.003318779,0.008109907,0.002478934,0.000520745,0.012487704,0.001927328,0.00980952,0.000618722,0.003296307,0.003102001,0.00906181,0.034143585,0.02314456,0.003857951,0.014055484,0.007675603,0.001352051,0.003266494,3.39E-05,0.000920443
0.086783607,4.68E-05,3.43E-05,0.020137236,1.09E-05,8.53E-05,0.048582698,0.000118911,0.001015648,1.33E-05,0.000667142,0.005168295,1.97E-05,0.000600529,0.00083328,0.003634961,0.00083621,0.008320624,0.008749155,0.001811169,0.000407905,0.011209207,0.00220273,0.007830891,4.36E-05,0.002318711,7.89E-05,0.009415283,0.037762798,0.019667227,0.002509758,0.021684433,0.006503594,0.00135029,0.00281825,1.13E-05,0.000628257
0.089968232,1.39E-05,6.71E-05,0.039711131,2.43E-06,2.23E-05,0.037104465,0.000194787,0.001154112,7.58E-05,0.003951739,0.00409609,3.93E-05,0.000328703,0.001082459,0.001699168,0.001996913,0.007946609,0.003921477,0.00689476,0.000358617,0.009972045,0.000963847,0.004879063,3.51E-05,0.001702994,6.85E-05,0.008249572,0.025789435,0.014512666,0.003355204,0.012247573,0.004533665,0.000973239,0.003245984,0.000100176,0.00142577
0.096974197,0.000420544,0.000152064,0.076783053,6.24E-05,0.000169889,0.056379686,0.000442825,0.003994336,2.62E-05,0.00173955,0.005216979,0.000134797,0.001029916,0.00142818,0.004310162,0.002333325,0.005952792,0.00800594,0.008299486,0.000846659,0.012609091,0.002256457,0.020340424,0.000416645,0.002877526,0.00040829,0.010408892,0.009461414,0.010703551,0.006294798,0.008024878,0.007936313,0.002849676,0.003982639,3.68E-05,0.001565762
0.104397794,0.000507111,0.000191778,0.078154781,5.48E-05,0.000223473,0.053116694,0.000464673,0.003822137,2.36E-05,0.0023282,0.006949145,0.000170828,0.000921288,0.001549805,0.006324388,0.002774071,0.006332983,0.011088764,0.010280286,0.000832114,0.012991506,0.003183413,0.007529852,0.000387317,0.003426762,0.000634964,0.011413766,0.006691829,0.008875523,0.00473483,0.006769185,0.007356875,0.005258057,0.003949989,5.80E-05,0.001855469
0.096860425,0.000549849,0.000114751,0.06082334,2.74E-05,0.00014257,0.062114725,0.000244281,0.003741149,1.09E-05,0.001419176,0.006011397,6.35E-05,0.00104667,0.00116968,0.004785211,0.001468728,0.00561281,0.011217797,0.005616722,0.000728496,0.014891139,0.002707954,0.009484793,0.000745883,0.002612763,0.000981036,0.011411222,0.026244116,0.018367578,0.005476326,0.011706793,0.008245133,0.002249384,0.004191895,4.04E-05,0.001148816
0.079576671,0.001028786,0.000110987,0.053915004,4.12E-05,0.000133638,0.052969572,0.000262746,0.007183835,6.80E-06,0.002292231,0.004678689,6.93E-05,0.00083671,0.001002964,0.004390121,0.001677044,0.006341236,0.008019639,0.006740791,0.000933654,0.011583017,0.002112386,0.008169132,0.001814306,0.002484308,0.003393952,0.008914334,0.019317712,0.013551799,0.00572922,0.010114811,0.00720558,0.00184964,0.004662381,5.48E-05,0.001198665
0.084550918,0.000182663,0.000388087,0.046889603,0.000107089,0.002500094,0.03162905,0.001326497,0.002407887,0.000157569,0.005621127,0.004147857,0.000808854,0.000418141,0.002774964,0.004687968,0.008726694,0.005004273,0.004310386,0.005738136,0.000605765,0.006804353,0.001718085,0.006291086,0.000108839,0.002294671,0.000279539,0.004733196,0.009275851,0.006834408,0.003870944,0.007679152,0.005640969,0.001468893,0.003046041,0.00014794,0.003893996
0.099520879,0.000256842,0.002175043,0.034795918,0.000315085,0.015659261,0.040123962,0.00412523,0.00218841,1.46E-05,0.007329552,0.021625353,0.000439926,0.000548774,0.001362983,0.029988003,0.002781344,0.004150771,0.016400189,0.004158171,0.001216898,0.01087259,0.009708446,0.012386193,8.88E-05,0.007087748,0.000260423,0.010666592,0.016631013,0.011804718,0.003012406,0.013402343,0.01049043,0.006918986,0.002968724,5.99E-05,0.001599535
