multidrug,macrolide_lincosamide_streptogramin,bacitracin,tetracycline,unclassified,fosmidomycin,polymyxin,beta_lactam,vancomycin,aminoglycoside,kasugamycin,sulfonamide,chloramphenicol,rifamycin,fosfomycin,quinolone,trimethoprim,puromycin,multidrug__multidrug_ABC_transporter,macrolide_lincosamide_streptogramin__macB,multidrug__mexF,bacitracin__bacA,multidrug__multidrug_transporter,multidrug__acrB,multidrug__mexW,unclassified__transcriptional_regulatory_protein_CpxR_cpxR,multidrug__mdtC,multidrug__mdtB,tetracycline__tetP,multidrug__mexB,multidrug__mexI,polymyxin__arnA,multidrug__mexD,fosmidomycin__rosA,bacitracin__bcrA,fosmidomycin__rosB,multidrug__mdtF,vancomycin__vanR,multidrug__ceoB,multidrug__amrB,multidrug__cmeB,multidrug__oprC,multidrug__bpeF,multidrug__adeB,multidrug__mexC,kasugamycin__kasugamycin_resistance_protein_ksgA,multidrug__mexY,multidrug__smeB,multidrug__mexE,unclassified__cAMP_regulatory_protein,multidrug__emrB,multidrug__TolC,multidrug__oprM,multidrug__mexT,multidrug__adeJ,multidrug__emrA,multidrug__smeE,multidrug__acrF,unclassified__truncated_putative_response_regulator_ArlR,multidrug__emrE,multidrug__mdfA,aminoglycoside__aac_6___II,fosfomycin__fosX,polymyxin__mcr_5,rifamycin__ADP_ribosylating_transferase_arr,macrolide_lincosamide_streptogramin__macA,tetracycline__tetA,multidrug__mexA,aminoglycoside__aadA,multidrug__acrA,chloramphenicol__catB,beta_lactam__metallo_beta_lactamase,sulfonamide__sul1,sulfonamide__sul4,tetracycline__tetT,multidrug__qacEdelta1,multidrug__smeD,aminoglycoside__aac_3__I,multidrug__mdtK,multidrug__oprN,tetracycline__tetC,multidrug__major_facilitator_superfamily_transporter,quinolone__qepA,multidrug__EmrB_QacA_family_major_facilitator_transporter,sulfonamide__sul2,polymyxin__mcr_4,aminoglycoside__aac_2___I,multidrug__oprA,tetracycline__tet35,beta_lactam__class_C_beta_lactamase,tetracycline__tet39,beta_lactam__class_A_beta_lactamase,tetracycline__tetracycline_resistance_protein,quinolone__abaQ,chloramphenicol__cat_chloramphenicol_acetyltransferase,multidrug__mdtA,aminoglycoside__aph_6__I,vancomycin__vanD,vancomycin__vanS,rifamycin__rifampin_monooxygenase,aminoglycoside__aac_6___I,tetracycline__tetM,multidrug__mdtH,aminoglycoside__aph_3___I,puromycin__puromycin_resistance_protein,multidrug__adeK,chloramphenicol__floR,beta_lactam__class_B_beta_lactamase,tetracycline__tetR,aminoglycoside__aac_6___31,polymyxin__mcr_3,polymyxin__icr_Mo,beta_lactam__OXA_209,tetracycline__tet41,beta_lactam__OXA_12,multidrug__sdeY,aminoglycoside__aph_3____I,unclassified__cob_I_alamin_adenolsyltransferase,chloramphenicol__chloramphenicol_exporter,tetracycline__tetV,vancomycin__vanC,beta_lactam__OXA_2,trimethoprim__dfrB6,beta_lactam__penA,tetracycline__tetG,multidrug__mdtE,multidrug__oprJ,beta_lactam__OXA_21,beta_lactam__PBP_1A,beta_lactam__TEM_1,macrolide_lincosamide_streptogramin__ereA,multidrug__mdtD,multidrug__mdtL,multidrug__bicyclomycin_multidrug_efflux_protein_bcr,beta_lactam__THIN_B,vancomycin__vanA,multidrug__mdtG,multidrug__adeC,beta_lactam__TEM_117,unclassified__DNA_binding_protein_H_NS,multidrug__emrD,beta_lactam__FEZ_1,beta_lactam__OXA_60,beta_lactam__OXA_3,aminoglycoside__aadE,tetracycline__tetX2,fosfomycin__fosA,multidrug__pmrA,aminoglycoside__ant_2____I,beta_lactam__OXA_119,multidrug__smeF,beta_lactam__ampC,tetracycline__tetQ,beta_lactam__OXA_53,macrolide_lincosamide_streptogramin__ermF,macrolide_lincosamide_streptogramin__lsa,multidrug__abeS,beta_lactam__OXA_205,chloramphenicol__cmlA,trimethoprim__dfrB2,macrolide_lincosamide_streptogramin__mefA,macrolide_lincosamide_streptogramin__mphA,tetracycline__tet34,trimethoprim__dfrA1,tetracycline__tetW,unclassified__rpsD__ramA_or_sud2_,trimethoprim__dfrB3,tetracycline__tet36,beta_lactam__OXA_10,beta_lactam__OXA_226,tetracycline__tetO,vancomycin__vanX,multidrug__emrK,beta_lactam__OXA_34,beta_lactam__TEM_157,beta_lactam__OXA_29,macrolide_lincosamide_streptogramin__vatB,beta_lactam__VEB_1,beta_lactam__OXA_1,beta_lactam__OXA_118,tetracycline__tetE,beta_lactam__TEM_187,tetracycline__tet43,tetracycline__otrA,beta_lactam__JOHN_1,aminoglycoside__aac_3__IIIa,beta_lactam__GES_15,beta_lactam__OXA_20,beta_lactam__TEM_91,unclassified__sdiA,beta_lactam__TEM_205,beta_lactam__LCR_1,multidrug__mdtN,beta_lactam__AER_1,macrolide_lincosamide_streptogramin__vatG,tetracycline__tetX3,multidrug__opcM,trimethoprim__dfrA22,multidrug__adeA,beta_lactam__OXA_129,multidrug__mexG,Integrase,IS,ist,Transposase,Plasmid,Ag,Al,As,Au,Cd,Co,Cr,Cu,Fe,Hg,Ni,Pb,Se,Te,V,W,Zn,Multi_metals,ARGrankI,ARGrankII
1.198887389,0.726454492,1.230992527,0.616144108,0.33779959,0.323106098,0.178081073,0.122496617,0.315568626,0.151177506,0.193457932,0.445948443,0.015446233,0.022968105,0.007791783,0.104332529,0.015446233,0.007791783,0.81554889,0.715997662,0.279930942,1.122407121,0.271598018,0.241105327,0.292138002,0.284038204,0.323106098,0.454314516,0.550539571,0.078867972,0.151177506,0.110472024,0.296131947,0.072261499,0.678104487,0.284038204,0.058739196,0.254436606,0.007791783,0.022968105,0.172832039,0,0,0.007791783,0.037631952,0.193457932,0.007791783,0,0.007791783,0.030361916,0.015446233,0,0,0.015446233,0.030361916,0,0,0,0.072261499,0,0.037631952,0,0.007791783,0.037631952,0.022968105,0.015446233,0.037631952,0,0.058739196,0,0.007791783,0,0.241105327,0.04478229,0,0.015446233,0,0,0.007791783,0.022968105,0.007791783,0.022968105,0,0,0.288106986,0.015446233,0.04478229,0,0,0.015446233,0,0.058739196,0,0.098104995,0,0,0.030361916,0.007791783,0.015446233,0,0,0,0,0,0.007791783,0,0,0,0,0,0,0.037631952,0.015446233,0,0,0,0.037631952,0,0,0.134197228,0.051816807,0,0,0.022968105,0.007791783,0,0,0.007791783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007791783,0,0,0,0,0,0,0,0,0,0,0,0.007791783,0,0,0,0,0,0,0,0.007791783,0,0,0,0,0,0,0,0.007791783,0,0,0,0,0,0,0,0,0,0,0.007791783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440280165,0,1.452057378,0.022968105,0.674792267,0.030361916,1.934561147,0.110472024,0.369147826,0.1984649,1.696017916,1.919967854,2.474164022,1.383963302,0.767278012,1.016089993,1.589634655,0.072261499,0.236569052,0.475866802,1.064774192,2.536033065,0.022968105,0
0.83047999,0.343978053,0.600183762,0.26437621,0.104200111,0.188174314,0.08702071,0.069133654,0.08702071,0.166834537,0.05047813,0.281506646,0.010575918,0.010575918,0,0.030985131,0.010575918,0,0.423509485,0.334170441,0.15200228,0.551900112,0.234232606,0.112541518,0.104200111,0.08702071,0.195060753,0.188174314,0.24654223,0.030985131,0.05047813,0.040840987,0.095695351,0.020900402,0.15200228,0.174064931,0.030985131,0.078169264,0.010575918,0,0.040840987,0,0,0.020900402,0,0.05047813,0,0.010575918,0.010575918,0,0.020900402,0.010575918,0.010575918,0,0.020900402,0.010575918,0,0.010575918,0.020900402,0,0.030985131,0,0,0.030985131,0,0.020900402,0,0,0.030985131,0.010575918,0,0,0.26437621,0,0,0.020900402,0.010575918,0.010575918,0,0,0,0,0,0,0.030985131,0,0.059906055,0,0,0.020900402,0,0.010575918,0,0.030985131,0,0.040840987,0.05047813,0,0,0.010575918,0,0,0,0,0,0,0,0,0,0,0,0.020900402,0,0,0,0,0.040840987,0,0,0.030985131,0.010575918,0,0,0.010575918,0,0,0,0,0.010575918,0,0,0,0.020900402,0,0,0,0,0,0,0,0.010575918,0,0,0,0,0,0,0,0,0,0.010575918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221563875,0,1.078974646,0.05047813,0.557867162,0.020900402,1.415729277,0.040840987,0.227944433,0.040840987,1.077185828,1.42548394,1.784277271,0.94397298,0.339101932,0.608173877,1.051336484,0.040840987,0.078169264,0.128758553,0.685341949,2.033362717,0,0
0.884184217,0.35661569,0.834217972,0.374934245,0.213927298,0.086481433,0.068696632,0.120004787,0.068696632,0.143551395,0.095107971,0.392511295,0.020760919,0.020760919,0,0,0,0,0.6059316,0.351912721,0.10356649,0.752175796,0.151124863,0.151124863,0.143551395,0.151124863,0.187129374,0.173083688,0.327602202,0,0.020760919,0.010504504,0.111863408,0.010504504,0.3374903,0.077680064,0.020760919,0.068696632,0,0.030780694,0.040574502,0.010504504,0,0.020760919,0.020760919,0.095107971,0,0,0,0.040574502,0.040574502,0,0,0.020760919,0,0.030780694,0,0.010504504,0.050152311,0,0,0,0,0.030780694,0.020760919,0.010504504,0.010504504,0,0.077680064,0.010504504,0,0,0.31233467,0,0,0.020760919,0,0,0,0,0.010504504,0.010504504,0,0,0.151124863,0,0,0,0,0.020760919,0,0.020760919,0,0,0.010504504,0,0.077680064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010504504,0.010504504,0.020760919,0.020760919,0,0,0,0,0.010504504,0.059523444,0,0,0,0.030780694,0,0,0.010504504,0.020760919,0.010504504,0,0,0,0.020760919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388183274,0,1.138471113,0.020760919,0.417610968,0.020760919,1.552267627,0.059523444,0.239167332,0.095107971,1.281419283,1.669624897,2.061307146,1.070859783,0.485227531,0.774184429,1.194250031,0.127996349,0.077680064,0.251257764,0.595263429,2.198874488,0,0
0.961223501,0.623165574,1.242538037,0.322682728,0.394209502,0.237007261,0.155379543,0.243720149,0.044357779,0.209067335,0.256842439,0.620376206,0.112512332,0,0.054773786,0.011521368,0,0,0.447347976,0.585426783,0.256842439,1.228969405,0.263257833,0.08460188,0.384684796,0.328201373,0.14713793,0.281954281,0.201792174,0.033685806,0.044357779,0.011521368,0.103406702,0.054773786,0.186865703,0.201792174,0.033685806,0.044357779,0.054773786,0.044357779,0.033685806,0.011521368,0.022744968,0.022744968,0.054773786,0.256842439,0.033685806,0.022744968,0.022744968,0.022744968,0.054773786,0,0.022744968,0.044357779,0,0,0,0,0.112512332,0,0,0.022744968,0.054773786,0.121430962,0,0.033685806,0.022744968,0,0.094106064,0,0.033685806,0.033685806,0.573122731,0,0,0.044357779,0,0.022744968,0,0,0.022744968,0,0,0,0.155379543,0.033685806,0,0,0,0,0.022744968,0.022744968,0.033685806,0.011521368,0,0,0.022744968,0,0,0,0.044357779,0.011521368,0,0,0,0,0.08460188,0,0,0,0,0,0.011521368,0,0,0,0.022744968,0,0,0,0,0.011521368,0,0.08460188,0.033685806,0,0,0.044357779,0.033685806,0,0.103406702,0,0,0,0,0,0,0,0,0,0,0,0,0.011521368,0,0.033685806,0,0,0.022744968,0,0,0,0,0.011521368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022744968,0.011521368,0.011521368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011521368,0,0,0,0,0.011521368,0,0,0,0,0,0,0,0,0.022744968,0.59145051,0,1.604772058,0.112512332,0.804602163,0.044357779,1.840303579,0.155379542,0.349600333,0.044357779,1.722899209,1.862012982,1.775688975,1.584585205,0.369994231,0.822536174,1.413208217,0.08460188,0.044357779,0.625937141,0.762329167,2.356359965,0.011521368,0
1.102912179,0.789092645,1.330203896,0.35647823,0.468400171,0.230398118,0.246355623,0.238450158,0.087307126,0.150301607,0.362515435,0.463676323,0.013599372,0.013599372,0.075858833,0.026785795,0,0,0.656176319,0.780017928,0.324965265,1.306307732,0.290985519,0.178673782,0.458900528,0.35647823,0.213831839,0.283858476,0.297997489,0.052015071,0.098461369,0.052015071,0.150301607,0.064100566,0.331453445,0.187733708,0.026785795,0.087307126,0.026785795,0.026785795,0,0,0.026785795,0,0,0.362515435,0,0,0.064100566,0.039583611,0.052015071,0.026785795,0.013599372,0.013599372,0.064100566,0,0,0,0.16942082,0.013599372,0.026785795,0.026785795,0.075858833,0.098461369,0.013599372,0,0.013599372,0,0.087307126,0.026785795,0.013599372,0,0.408010545,0,0,0.052015071,0,0.013599372,0.039583611,0,0,0,0.026785795,0,0.130301782,0.075858833,0,0,0,0,0,0.026785795,0,0,0,0,0,0,0,0,0,0,0.013599372,0,0,0,0,0.013599372,0.013599372,0.013599372,0.052015071,0.013599372,0.039583611,0,0,0.013599372,0,0,0,0.039583611,0,0,0,0.064100566,0,0,0,0.026785795,0.064100566,0,0.026785795,0,0,0.026785795,0,0,0,0,0,0.013599372,0,0,0,0,0,0,0,0,0.026785795,0,0,0,0,0,0.013599372,0,0,0,0,0,0,0,0,0,0,0.026785795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026785795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013599372,0.617954443,0,1.484115769,0.052015071,0.981749252,0.052015071,1.951171345,0.159966417,0.508750516,0.026785795,1.809499445,1.976248738,1.930595602,1.557715204,0.344146059,1.012342344,1.678480339,0.075858833,0.140416812,0.646931564,1.092989741,2.488043,0.013599372,0
0.952109056,0.583724868,1.286671656,0.305452677,0.390072092,0.215510386,0.200255559,0.309495787,0.075173146,0.068215015,0.27167676,0.419161563,0.023948768,0,0.095402659,0.031646943,0,0,0.557251,0.564022292,0.244500925,1.257281164,0.189779614,0.075173146,0.376490447,0.347982437,0.162427819,0.235050815,0.235050815,0.031646943,0.053955106,0.016111671,0.120988113,0.031646943,0.355286787,0.195049173,0.031646943,0.075173146,0,0.016111671,0.031646943,0.008130546,0,0,0.016111671,0.27167676,0.008130546,0,0.016111671,0.008130546,0.039211036,0,0.008130546,0,0,0,0,0,0.082021552,0.008130546,0,0,0.095402659,0.120988113,0,0.008130546,0,0,0.061143586,0,0.023948768,0.053955106,0.399986659,0,0,0.095402659,0,0.008130546,0,0.008130546,0,0,0,0,0.046645637,0.016111671,0,0,0,0,0,0.031646943,0,0.031646943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016111671,0.053955106,0.039211036,0.008130546,0,0.016111671,0,0,0,0.039211036,0,0.008130546,0,0.195049173,0,0,0,0.016111671,0.008130546,0,0.046645637,0,0,0,0,0,0,0.008130546,0,0,0,0,0,0.016111671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008130546,0,0,0,0,0,0,0,0,0.046645637,0.511725154,0,1.498581382,0.108383772,0.811595689,0.061143586,1.834985607,0.101941715,0.419161563,0.016111671,1.788412863,1.906113867,1.929900933,1.505042614,0.33679027,1.007122067,1.499881341,0.046645637,0.101941715,0.682805353,0.941909892,2.427437045,0.008130546,0
2.369953734,1.711390403,1.24413347,2.022748802,1.300102162,0.990033561,1.087325207,1.364504945,0.427634548,1.280997206,0.685260966,1.03489051,0.62223767,0.073370638,0.109343122,0.453397277,0.301476838,0,0.474750424,1.1954355,0.584622362,1.240064629,1.440676682,1.499034733,0.264453571,0.725502295,1.211009272,1.368324961,0.347722328,0.511819194,0.218642037,1.074049747,0.25468268,0.654891532,0.065804252,0.796275662,1.093097612,0.29251269,0.080807455,0.167421952,0.042280463,0.017409159,0.025858846,0.202230834,0.109343122,0.685260966,0.129578104,0.042280463,0.60494137,0.579974955,0.99545216,0.913732469,0.244686891,0.414156453,0.49510271,0.778895732,0.109343122,0.327309867,0.15517012,0.259595603,0.791995449,0.025858846,0.034147267,0.017409159,0.073370638,0.706720862,0.985465838,0.065804252,0.935905974,0.840767847,0.073370638,0.088119066,0.847128467,0.025858846,0.136118874,0.483589871,0.034147267,0.050264142,0.711924147,0.058103701,1.029944983,0.301476838,0.042280463,0.223977462,0.662685295,0.008791807,0.034147267,0,0.15517012,0.725502295,0.223977462,0.443914441,0.878780682,0.088119066,0.249713543,0.743505066,0.620112931,0.017409159,0.122937318,0,0.239601377,1.040590002,0.775930234,0.017409159,0,0.297017892,0.229248134,0,0,0,0.034147267,0.088119066,0.129578104,0,0,0.008791807,0.579974955,0.486496819,0.21324025,0.034147267,0,0.430939714,0.008791807,0.480663334,0.185175043,0.766910273,0.017409159,0.017409159,0.17933761,0.161339239,0.874058752,0.670341655,0.838197284,0.833010058,0,0.008791807,0.756144606,0.122937318,0.207770427,0.327309867,0.839484468,0,0,0.008791807,0.474750424,0.239601377,0.080807455,0.008791807,0.025858846,0,0.008791807,0.102383051,1.085870037,0.034147267,0.343715868,0.780370922,0,0.088119066,0.017409159,0,0.967656681,0.095309616,0.088119066,0.080807455,1.502678637,0.050264142,0,0.034147267,0.234455606,0.095309616,1.026616397,0.008791807,0.584622362,0.161339239,0,0,0.555961315,0.080807455,0.058103701,0.008791807,0.034147267,0.042280463,0.042280463,0,0,0,0.109343122,0,0.050264142,0.54343749,0.017409159,0,0.706720862,0.050264142,0,0.034147267,0,0,0.008791807,0.017409159,0,0.269257798,1.838700523,0.310259694,2.615895825,1.386936718,1.689984406,0.52791602,2.082644502,0.249713543,1.09950116,0,1.35244475,2.090142063,1.932589663,1.804419919,1.717390463,1.022419466,1.528943547,1.217516496,0.371014618,0.723828061,2.153487261,2.908073065,0.81976428,0.885768689
2.883318835,1.729172404,1.570090779,1.750995313,1.16796635,0.986217091,1.202076318,1.788570821,0.122777283,1.431180463,0.318917754,0.994786752,0.716231201,0.031106641,0.173206924,0.817498411,0.155538966,0,0.673265932,1.221868304,1.758257672,1.565554728,2.036157363,1.287467661,1.168404218,0.714989781,1.117379536,1.419800941,0.042951145,1.670377613,0.698519851,1.087322684,0.894656137,0.777413225,0.141799715,0.671895213,0.348811404,0.076661637,0.572001719,0.397925045,0.042951145,0.334121735,0.368576364,1.035862611,0.611609838,0.318917754,0.186001636,0.173206924,1.003830343,0.613184299,1.620503378,0.945046524,1.650360092,1.795235844,2.109179442,0.280097506,0.060133391,0.082034164,0.012711246,0.102883335,1.447594446,0.160023795,0.137121647,0,0.031106641,1.393507836,0.717469082,0.453544361,1.063470353,0.293426888,0.252144848,0.371327907,0.774170894,0.012711246,0.025061005,0.376779242,0.107942906,0.351690641,1.429744253,1.024430571,0.374062127,1.519140774,0.037069271,0.025061005,0.69070243,0.309533135,0.012711246,0.214466905,0.048754421,0.259303483,1.381886073,0.194326716,0.241180667,0.791190163,0.065712991,0.173206924,0.877896839,0.006402127,0.037069271,0,0.173206924,0.190184124,0.444368971,0.229932499,0,1.580550686,0.357392475,0.025061005,0.363020419,0.018930022,0.054481173,0.547110761,1.322604868,0,0.082034164,0.018930022,0.70872889,0.151007339,0.345912951,0.012711246,0,0.151007339,0,0.460300887,0.164462785,0.160023795,0.276700242,0.037069271,0.071221815,0.054481173,0.229932499,0.325063365,0.181778477,0.198430167,0.2901327,0,0.430231852,1.011434873,0.060133391,0.117888576,0.181778477,0,0,0,0.076661637,1.10893032,0.048754421,0,0.082034164,0.054481173,0.018930022,0.042951145,0.164462785,0,1.035268368,0.031106641,0,0.031106641,0.168856861,0.006402127,0.202495209,0.13239264,0.025061005,0.048754421,0.276700242,0.810570726,0.037069271,0.006402127,0.244866235,0.031106641,0.117888576,0,0,0.042951145,0.012711246,0,0.031106641,0.025061005,0.107942906,0.018930022,0.092583851,0.012711246,0,0,0.578859038,0,0.08734104,0,0.025061005,0.025061005,0.025061005,0.018930022,0.097764125,0.018930022,0,0.516799358,0,0.006402127,0.071221815,0.012711246,0,0.500811537,2.428134014,0.018930022,3.439510986,0.788049439,1.697998545,0.16885686,2.625633874,1.149165446,1.466946249,0,2.291143944,2.349089137,1.794925696,2.641939812,1.022597683,1.664133331,2.127400818,1.393768386,0.972006326,0.400497321,2.001391978,3.180504063,0.345912951,0.160023795
1.003190581,0.218385241,0.439707544,0.012711246,0.065712991,0.117888576,0.076661637,0.151007339,0.082034164,0.082034164,0.006402127,0.060133391,0,0,0,0.012711246,0,0,0.122777283,0.210512894,0.244866235,0.439707544,0.448980897,0.23371435,0.164462785,0.065712991,0.360215563,0.498771032,0.012711246,0.082034164,0.117888576,0.031106641,0.006402127,0.025061005,0,0.097764125,0.012711246,0.037069271,0.042951145,0.042951145,0.018930022,0.006402127,0,0.076661637,0.006402127,0.006402127,0,0.031106641,0,0,0.018930022,0.006402127,0,0.025061005,0.037069271,0.006402127,0,0,0,0,0.006402127,0,0,0,0,0,0,0.012711246,0.012711246,0.006402127,0,0.092583851,0.060133391,0,0,0,0.018930022,0,0,0.031106641,0,0,0.006402127,0,0,0,0.006402127,0,0,0,0,0,0,0,0,0,0,0,0.031106641,0,0,0,0,0.065712991,0,0,0,0,0,0,0,0.048754421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018930022,0,0,0,0,0,0,0,0,0,0,0,0.012711246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012711246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018930022,0.146427928,0,0.713744803,0.042951145,0.729657621,0.102883335,1.275321954,0.037069271,0.186001636,0,0.814542924,0.885518655,1.451260682,0.990852526,0.141799715,0.13239264,0.475668971,0.012711246,0.210512894,0.060133391,0.68674031,1.675853705,0,0
1.097230927,0.789098873,0.966467992,1.217590798,0.160023795,0.360215563,0.677352321,0.75305412,0.042951145,0.025061005,0.025061005,0,0.603650758,0.006402127,0,0.048754421,0.025061005,0.025061005,0.354550915,0.789098873,0.455808236,0.943580147,0.112944211,0.082034164,0.244866235,0.155538966,0.437357933,0.716231201,0.060133391,0.025061005,0.102883335,0.677352321,0.048754421,0.266346029,0.168856861,0.160023795,0.012711246,0.018930022,0.025061005,0.018930022,0.031106641,0.042951145,0.012711246,0,0.006402127,0.025061005,0.006402127,0.012711246,0.006402127,0.006402127,0,0.012711246,0,0.048754421,0,0,0,0,0,0.006402127,0,0.025061005,0,0,0.006402127,0,1.062354398,0,0,0,0,0.012711246,0,0,0,0,0,0,0,0,0.763184889,0.006402127,0.042951145,0,0,0,0,0,0,0,0,0,0,0.006402127,0.59225716,0,0,0.006402127,0,0,0,0,0,0,0.025061005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018930022,0,0,0,0,0.006402127,0,0,0,0.345912951,0,0.006402127,0,0.025061005,0,0,0.012711246,0,0.455808236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018930022,0,0,0,0,0,0,0.006402127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006402127,0,0,0,0,0,0.137121647,0,0.037069271,0,0,0,0,0,0,0,0,0,0,0.006402127,0.092583851,0,1.017671821,0.031106641,0.78169902,0.012711246,1.793682882,0.112944211,0.160023795,0.202495209,2.037874918,1.255726459,2.161876693,0.930155067,0.151007339,0.345912951,1.269119302,0.13239264,0.186001636,0.532219452,0.90841007,2.26447742,0.042951145,0
